High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
John H Guyer High School,Dallas-Fort Worth-Arlington,Denton,0.02412,0.326,0.674,0.189,0.205,0.58,1514,21.7,21,13,White
Rusk High School,,Rusk,0.02400,0.327,0.673,0.383,0.487,0.65,1530,22,3,3,White
Waxahachie High School,Dallas-Fort Worth-Arlington,Waxahachie,0.02364,0.499,0.502,0.52,0.417,0.54,1433,20.4,13,10,White
Homer Hanna High School,,Brownsville,0.02364,0.984,0.016,0.541,0.856,0.5,1301,19,26,13,Minority
McKinney High School,Dallas-Fort Worth-Arlington,McKinney,0.02362,0.455,0.545,0.186,0.307,0.63,1560,23,22,12,White
Central High School,Dallas-Fort Worth-Arlington,Keller,0.02361,0.347,0.653,0.274,0.195,0.7,1544,23,25,14,White
Louis D Brandeis High School,San Antonio-New Braunfels,San Antonio,0.02355,0.639,0.36,0.477,0.249,0.69,1520,22.4,27,13,Minority
Robert M Shoemaker High School,,Killeen,0.02353,0.779,0.222,0.654,0.562,0.38,1296,18.4,13,10,Minority
Duncanville High School,Dallas-Fort Worth-Arlington,Duncanville,0.02342,0.925,0.075,0.636,0.68,0.4,1305,18.6,35,20,Minority
Lawrence D Bell High School,Dallas-Fort Worth-Arlington,Hurst,0.02332,0.433,0.568,0.435,0.403,0.69,1514,22.3,25,16,White
Theodore Roosevelt High School,San Antonio-New Braunfels,San Antonio,0.02306,0.804,0.196,0.634,0.626,0.46,1353,20.4,25,14,Minority
J B Alexander High School,,Laredo,0.02304,0.972,0.027,0.41,0.562,0.52,1385,20.2,24,15,Minority
Lampasas High School,,Lampasas,0.02304,0.276,0.724,0.349,0.441,0.48,1408,21,7,5,White
Wimberley High School,Austin-Round Rock,Wimberley,0.02299,0.21,0.789,0.291,0.19,0.7,1619,23.8,11,4,White
Newman Smith High School,Dallas-Fort Worth-Arlington,Carrollton,0.02296,0.755,0.246,0.413,0.599,0.6,1531,21.9,17,9,Minority
Hebron High School,Dallas-Fort Worth-Arlington,Carrollton,0.02294,0.33,0.67,0.164,0.17,0.72,1615,23.9,44,17,White
Aledo High School,Dallas-Fort Worth-Arlington,Aledo,0.02284,0.133,0.868,0.224,0.071,0.79,1592,24.1,19,9,White
Wylie High School,Dallas-Fort Worth-Arlington,Wylie,0.02283,0.388,0.612,0.307,0.233,0.66,1488,21.8,17,10,White
Alief Taylor High School,Houston-The Woodlands-Sugar Land,Houston,0.02280,0.814,0.188,0.662,0.726,0.39,1256,16.7,29,14,Minority
Nacogdoches High School,,Nacogdoches,0.02266,0.663,0.337,0.675,0.648,0.53,1481,20.2,19,8,Minority
R L Turner High School,Dallas-Fort Worth-Arlington,Carrollton,0.02232,0.833,0.167,0.551,0.708,0.49,1432,19.6,16,10,Minority
Floresville High School,San Antonio-New Braunfels,Floresville,0.02230,0.645,0.356,0.375,0.414,0.56,1378,19.2,9,6,Minority
James Madison Hs Meter/Space S,Houston-The Woodlands-Sugar Land,Houston,0.02204,0.988,0.012,0.875,0.741,0.34,1063,16.8,14,8,Minority
Warren T White High School,Dallas-Fort Worth-Arlington,Dallas,0.02203,0.871,0.128,0.634,0.763,0.58,1343,18.2,24,10,Minority
Victoria West High School,,Victoria,0.02201,0.632,0.368,0.371,0.449,0.48,1435,19.9,12,7,Minority
Robert E Lee Senior Hs,Houston-The Woodlands-Sugar Land,Baytown,0.02193,0.865,0.134,0.627,0.725,0.45,1370,17.4,8,5,Minority
Garland High School,Dallas-Fort Worth-Arlington,Garland,0.02189,0.735,0.265,0.576,0.548,0.52,1546,22.6,30,13,Minority
Douglas Macarthur High School,San Antonio-New Braunfels,San Antonio,0.02185,0.675,0.325,0.512,0.46,0.62,1485,21.6,22,13,Minority
